status_group,amount_tsh,gps_height,basin,region,region_code,lga,public_meeting,scheme_management,permit,extraction_type_group,extraction_type_class,management,management_group,payment,quality_group,quantity,source,source_class,waterpoint_type,water_per_person,age_at_inspection,unknown_construction_year
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Ngara,True,VWC,False,gravity,gravity,vwc,user-group,never pay,colored,insufficient,spring,groundwater,other,0.0,,False
functional needs repair,1000.0,1055,Pangani,Kilimanjaro,3,Same,True,Water authority,True,gravity,gravity,water board,user-group,pay monthly,good,insufficient,spring,groundwater,communal standpipe,2.2222222222222223,2.0,False
functional needs repair,0.0,744,Pangani,Kilimanjaro,3,Moshi Rural,True,Water authority,True,gravity,gravity,water authority,commercial,pay monthly,good,insufficient,spring,groundwater,communal standpipe,0.0,37.0,False
functional needs repair,0.0,0,Lake Rukwa,Mbeya,12,Mbozi,True,VWC,False,nira/tanira,handpump,vwc,user-group,pay when scheme fails,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,1661,Pangani,Kilimanjaro,3,Same,True,Water authority,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,11.0,False
functional needs repair,0.0,1641,Internal,Singida,13,Singida Rural,True,VWC,,submersible,submersible,vwc,user-group,unknown,unknown,dry,machine dbh,groundwater,communal standpipe,0.0,13.0,False
functional needs repair,500.0,373,Wami / Ruvu,Morogoro,5,Mvomero,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,river,surface,communal standpipe,500.0,6.0,False
functional needs repair,0.0,0,Lake Rukwa,Mbeya,12,Chunya,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Mwanza,19,Magu,True,,True,nira/tanira,handpump,vwc,user-group,never pay,good,insufficient,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,250.0,1572,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,True,gravity,gravity,water board,user-group,pay monthly,good,enough,spring,groundwater,improved spring,0.78125,5.0,False
functional needs repair,0.0,1886,Lake Rukwa,Rukwa,15,Nkasi,False,VWC,False,submersible,submersible,vwc,user-group,never pay,unknown,enough,river,surface,communal standpipe,0.0,27.0,False
functional needs repair,500.0,991,Lake Tanganyika,Kigoma,16,Kigoma Rural,False,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,insufficient,river,surface,communal standpipe multiple,3.3333333333333335,16.0,False
functional needs repair,0.0,0,Lake Nyasa,Mbeya,12,Rungwe,True,VWC,,gravity,gravity,vwc,user-group,never pay,good,insufficient,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,1773,Internal,Manyara,21,Babati,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,river,surface,communal standpipe,0.0,3.0,False
functional needs repair,0.0,0,Rufiji,Mbeya,12,Mbarali,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,seasonal,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,-40,Ruvuma / Southern Coast,Mtwara,9,Urban,True,,False,nira/tanira,handpump,vwc,user-group,never pay,salty,insufficient,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,,WUG,False,nira/tanira,handpump,wug,user-group,unknown,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Rufiji,Mbeya,12,Mbarali,False,Water Board,True,swn 80,handpump,water board,user-group,never pay,salty,enough,machine dbh,groundwater,hand pump,0.0,,False
functional needs repair,0.0,1549,Internal,Singida,13,Singida Rural,,,True,mono,motorpump,unknown,unknown,unknown,unknown,unknown,machine dbh,groundwater,communal standpipe,0.0,3.0,False
functional needs repair,0.0,0,Lake Rukwa,Mbeya,12,Chunya,True,VWC,True,gravity,gravity,vwc,user-group,pay annually,good,enough,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Muleba,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Wami / Ruvu,Dodoma,1,Chamwino,True,VWC,True,mono,motorpump,vwc,user-group,pay per bucket,good,insufficient,machine dbh,groundwater,communal standpipe multiple,0.0,,False
functional needs repair,50.0,674,Ruvuma / Southern Coast,Ruvuma,10,Tunduru,True,VWC,False,submersible,submersible,vwc,user-group,pay per bucket,good,enough,machine dbh,groundwater,communal standpipe multiple,50.0,2.0,False
functional needs repair,0.0,980,Pangani,Kilimanjaro,3,Moshi Rural,True,Water Board,True,gravity,gravity,water board,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,41.0,False
functional needs repair,0.0,486,Wami / Ruvu,Morogoro,5,Mvomero,True,VWC,True,swn 80,handpump,vwc,user-group,never pay,salty,enough,shallow well,groundwater,hand pump,0.0,31.0,False
functional needs repair,0.0,1001,Pangani,Kilimanjaro,3,Mwanga,True,Water Board,False,gravity,gravity,water board,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,20.0,False
functional needs repair,0.0,0,Lake Nyasa,Mbeya,12,Rungwe,True,VWC,,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,200.0,266,Rufiji,Morogoro,5,Kilombero,True,WUA,True,gravity,gravity,vwc,user-group,pay monthly,good,insufficient,river,surface,communal standpipe,0.6666666666666666,13.0,False
functional needs repair,0.0,-32,Ruvuma / Southern Coast,Lindi,80,Kilwa,,Water authority,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,other,0.0,,False
functional needs repair,0.0,2223,Internal,Arusha,2,Longido,True,VWC,,gravity,gravity,vwc,user-group,pay when scheme fails,good,insufficient,river,surface,communal standpipe,0.0,11.0,False
functional needs repair,0.0,981,Lake Tanganyika,Kigoma,16,Kigoma Rural,False,VWC,True,gravity,gravity,vwc,user-group,unknown,good,seasonal,river,surface,communal standpipe multiple,0.0,16.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Misenyi,True,VWC,True,other,other,vwc,user-group,never pay,good,insufficient,spring,groundwater,improved spring,0.0,,False
functional needs repair,1500.0,1600,Pangani,Kilimanjaro,3,Same,True,Water authority,True,gravity,gravity,vwc,user-group,pay annually,good,insufficient,spring,groundwater,communal standpipe,10.714285714285714,35.0,False
functional needs repair,750.0,1298,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,True,gravity,gravity,water board,user-group,pay monthly,good,insufficient,river,surface,communal standpipe multiple,1.6666666666666667,38.0,False
functional needs repair,0.0,1500,Lake Nyasa,Ruvuma,10,Mbinga,,WUG,True,gravity,gravity,wug,user-group,unknown,good,enough,spring,groundwater,communal standpipe,0.0,8.0,False
functional needs repair,12000.0,1020,Lake Nyasa,Ruvuma,10,Songea Rural,True,VWC,True,gravity,gravity,vwc,user-group,pay annually,good,enough,river,surface,communal standpipe,66.70002291643604,11.0,False
functional needs repair,500.0,1016,Lake Tanganyika,Kigoma,16,Kigoma Rural,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,seasonal,river,surface,communal standpipe multiple,3.225806451612903,28.0,False
functional needs repair,0.0,0,Wami / Ruvu,Dodoma,1,Mpwapwa,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,seasonal,rainwater harvesting,surface,communal standpipe,0.0,,False
functional needs repair,200.0,959,Lake Tanganyika,Kigoma,16,Kigoma Rural,True,Parastatal,True,gravity,gravity,parastatal,parastatal,pay monthly,good,enough,spring,groundwater,communal standpipe,0.35714285714285715,29.0,False
functional needs repair,0.0,0,Rufiji,Mbeya,12,Mbarali,True,WUA,True,gravity,gravity,wua,user-group,pay monthly,good,seasonal,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,1785,Pangani,Tanga,4,Lushoto,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,19.0,False
functional needs repair,0.0,0,Internal,Dodoma,1,Kondoa,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,50.0,109,Ruvuma / Southern Coast,Lindi,80,Kilwa,True,WUG,False,submersible,submersible,wug,user-group,pay per bucket,good,enough,machine dbh,groundwater,communal standpipe,0.07936507936507936,37.0,False
functional needs repair,250.0,1407,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,True,gravity,gravity,water board,user-group,pay monthly,good,enough,river,surface,communal standpipe multiple,0.3333333333333333,7.0,False
functional needs repair,0.0,286,Ruvuma / Southern Coast,Lindi,80,Ruangwa,True,WUA,True,gravity,gravity,wua,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,38.0,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,,WUG,False,nira/tanira,handpump,wug,user-group,unknown,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Bukoba Rural,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,rainwater harvesting,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Internal,Dodoma,1,Kondoa,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,500.0,575,Ruvuma / Southern Coast,Ruvuma,10,Tunduru,True,VWC,False,gravity,gravity,vwc,user-group,pay when scheme fails,good,enough,river,surface,communal standpipe,500.0,21.0,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,False,WUG,False,nira/tanira,handpump,wug,user-group,never pay,good,insufficient,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,20.0,270,Ruvuma / Southern Coast,Lindi,80,Lindi Rural,False,WUA,False,gravity,gravity,wua,user-group,pay per bucket,good,enough,river,surface,communal standpipe multiple,20.0,2.0,False
functional needs repair,0.0,0,Rufiji,Dodoma,1,Chamwino,True,VWC,True,mono,motorpump,vwc,user-group,pay per bucket,good,insufficient,machine dbh,groundwater,communal standpipe multiple,0.0,,False
functional needs repair,200.0,632,Pangani,Kilimanjaro,3,Same,True,Water authority,True,gravity,gravity,vwc,user-group,pay monthly,good,insufficient,spring,groundwater,communal standpipe multiple,1.6666666666666667,8.0,False
functional needs repair,0.0,1605,Lake Rukwa,Rukwa,15,Sumbawanga Rural,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,river,surface,communal standpipe,0.0,39.0,False
functional needs repair,0.0,1356,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,swn 80,handpump,wug,user-group,never pay,good,insufficient,shallow well,groundwater,hand pump,0.0,17.0,False
functional needs repair,0.0,1033,Internal,Arusha,2,Monduli,False,Parastatal,,submersible,submersible,parastatal,parastatal,never pay,good,enough,machine dbh,groundwater,communal standpipe,0.0,13.0,False
functional needs repair,0.0,1626,Internal,Singida,13,Singida Rural,True,VWC,,mono,motorpump,vwc,user-group,unknown,good,insufficient,machine dbh,groundwater,communal standpipe,0.0,23.0,False
functional needs repair,0.0,0,Rufiji,Mbeya,12,Mbarali,False,Water Board,True,gravity,gravity,water board,user-group,never pay,good,seasonal,river,surface,communal standpipe,0.0,,False
functional needs repair,500.0,1576,Rufiji,Iringa,11,Njombe,True,WUA,True,gravity,gravity,wua,user-group,pay monthly,good,insufficient,river,surface,communal standpipe,3.3333333333333335,36.0,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,nira/tanira,handpump,wug,user-group,never pay,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,353,Ruvuma / Southern Coast,Mtwara,90,Masasi,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,other,0.0,1.0,False
functional needs repair,0.0,1136,Pangani,Tanga,4,Lushoto,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,29.0,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,False,Parastatal,False,swn 80,handpump,parastatal,parastatal,other,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,750.0,1301,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,True,gravity,gravity,water board,user-group,pay monthly,good,insufficient,river,surface,communal standpipe,750.0,8.0,False
functional needs repair,200.0,2171,Lake Nyasa,Iringa,11,Njombe,True,VWC,False,gravity,gravity,vwc,user-group,pay monthly,good,enough,spring,groundwater,communal standpipe,25.0,3.0,False
functional needs repair,3000.0,1348,Lake Nyasa,Iringa,11,Ludewa,True,VWC,False,gravity,gravity,vwc,user-group,pay monthly,good,enough,river,surface,communal standpipe,42.857142857142854,12.0,False
functional needs repair,0.0,1408,Lake Victoria,Mara,20,Serengeti,,,True,gravity,gravity,unknown,unknown,unknown,unknown,unknown,spring,groundwater,communal standpipe multiple,0.0,17.0,False
functional needs repair,0.0,0,Lake Rukwa,Mbeya,12,Chunya,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,132,Ruvuma / Southern Coast,Lindi,80,Lindi Rural,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,enough,river,surface,communal standpipe,0.0,9.0,False
functional needs repair,0.0,1734,Lake Rukwa,Rukwa,15,Nkasi,,VWC,False,gravity,gravity,vwc,user-group,never pay,good,insufficient,river,surface,communal standpipe,0.0,25.0,False
functional needs repair,500.0,1303,Lake Tanganyika,Rukwa,15,Mpanda,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,spring,groundwater,communal standpipe,500.0,33.0,False
functional needs repair,0.0,0,Internal,Dodoma,1,Kondoa,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,500.0,265,Ruvuma / Southern Coast,Mtwara,90,Masasi,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,spring,groundwater,communal standpipe,6.25,9.0,False
functional needs repair,0.0,0,Lake Nyasa,Mbeya,12,Rungwe,True,VWC,,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Ngara,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe multiple,0.0,,False
functional needs repair,0.0,1019,Ruvuma / Southern Coast,Ruvuma,10,Mbinga,False,VWC,True,gravity,gravity,vwc,user-group,unknown,good,insufficient,spring,groundwater,communal standpipe,0.0,6.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Ngara,True,VWC,False,gravity,gravity,vwc,user-group,pay monthly,good,insufficient,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,1634,Lake Tanganyika,Kigoma,16,Kigoma Rural,True,VWC,True,gravity,gravity,vwc,user-group,unknown,good,enough,spring,groundwater,improved spring,0.0,4.0,False
functional needs repair,1000.0,1916,Lake Rukwa,Rukwa,15,Nkasi,True,VWC,False,gravity,gravity,vwc,user-group,pay annually,unknown,enough,river,surface,communal standpipe,1.25,5.0,False
functional needs repair,200.0,356,Wami / Ruvu,Morogoro,5,Morogoro Rural,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,insufficient,river,surface,communal standpipe,1.0,42.0,False
functional needs repair,0.0,1340,Lake Victoria,Shinyanga,17,Bariadi,False,WUG,False,nira/tanira,handpump,wug,user-group,never pay,good,enough,shallow well,groundwater,hand pump,0.0,15.0,False
functional needs repair,300.0,253,Rufiji,Morogoro,5,Kilombero,True,Company,True,gravity,gravity,vwc,user-group,pay monthly,good,insufficient,river,surface,communal standpipe,0.9009009009009009,16.0,False
functional needs repair,2000.0,1262,Lake Victoria,Mwanza,19,Ilemela,True,VWC,True,india mark ii,handpump,vwc,user-group,pay monthly,good,enough,shallow well,groundwater,hand pump,6.25,6.0,False
functional needs repair,0.0,1145,Lake Rukwa,Rukwa,15,Mpanda,False,VWC,True,nira/tanira,handpump,vwc,user-group,never pay,good,enough,hand dtw,groundwater,hand pump,0.0,18.0,False
functional needs repair,100.0,1074,Lake Tanganyika,Kigoma,16,Kigoma Rural,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,river,surface,communal standpipe multiple,0.2631578947368421,33.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Karagwe,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,275,Rufiji,Morogoro,5,Ulanga,True,,True,swn 80,handpump,vwc,user-group,never pay,colored,enough,shallow well,groundwater,hand pump,0.0,44.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Bukoba Rural,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Ngara,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Internal,Shinyanga,17,Kishapu,True,Parastatal,False,gravity,gravity,parastatal,parastatal,unknown,good,seasonal,rainwater harvesting,surface,communal standpipe,0.0,,False
functional needs repair,200.0,1582,Rufiji,Iringa,11,Njombe,True,VWC,True,other,other,vwc,user-group,pay monthly,good,enough,spring,groundwater,communal standpipe,1.3333333333333333,12.0,False
functional needs repair,50.0,1586,Internal,Singida,13,Singida Urban,True,WUG,True,nira/tanira,handpump,wug,user-group,pay per bucket,salty,dry,shallow well,groundwater,other,0.847457627118644,10.0,False
functional needs repair,0.0,1196,Pangani,Manyara,21,Kiteto,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,other,0.0,43.0,False
functional needs repair,0.0,0,Internal,Shinyanga,17,Kishapu,True,WUG,False,other,other,wug,user-group,unknown,salty,enough,shallow well,groundwater,other,0.0,,False
functional needs repair,0.0,0,Lake Tanganyika,Tabora,14,Urambo,True,VWC,True,nira/tanira,handpump,vwc,user-group,never pay,milky,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,1643,Internal,Manyara,21,Babati,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,1.0,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,False,Parastatal,False,swn 80,handpump,parastatal,parastatal,never pay,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,1393,Lake Tanganyika,Kigoma,16,Kibondo,True,VWC,False,gravity,gravity,vwc,user-group,unknown,good,enough,spring,groundwater,communal standpipe multiple,0.0,25.0,False
functional needs repair,0.0,0,Internal,Dodoma,1,Kondoa,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,1217,Lake Victoria,Mwanza,19,Ukerewe,False,,True,other,other,unknown,unknown,never pay,good,insufficient,rainwater harvesting,surface,other,0.0,27.0,False
functional needs repair,0.0,1262,Lake Victoria,Mwanza,19,Ukerewe,True,,True,other,other,vwc,user-group,never pay,good,insufficient,shallow well,groundwater,other,0.0,13.0,False
functional needs repair,0.0,1905,Rufiji,Iringa,11,Mufindi,True,VWC,False,swn 80,handpump,vwc,user-group,never pay,good,insufficient,shallow well,groundwater,hand pump,0.0,11.0,False
functional needs repair,0.0,1148,Pangani,Tanga,4,Lushoto,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,29.0,False
functional needs repair,0.0,0,Internal,Shinyanga,17,Maswa,True,WUG,False,gravity,gravity,wug,user-group,other,good,seasonal,rainwater harvesting,surface,communal standpipe,0.0,,False
functional needs repair,0.0,1354,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,nira/tanira,handpump,wug,user-group,never pay,good,enough,shallow well,groundwater,hand pump,0.0,16.0,False
functional needs repair,0.0,1376,Pangani,Kilimanjaro,3,Same,True,Water authority,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe multiple,0.0,31.0,False
functional needs repair,0.0,0,Internal,Shinyanga,17,Meatu,True,Parastatal,True,gravity,gravity,parastatal,parastatal,never pay,good,seasonal,rainwater harvesting,surface,communal standpipe,0.0,,False
functional needs repair,0.0,1329,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,nira/tanira,handpump,wug,user-group,never pay,good,enough,shallow well,groundwater,hand pump,0.0,4.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Bukoba Rural,True,VWC,True,swn 80,handpump,vwc,user-group,never pay,good,insufficient,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,250.0,1422,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,True,gravity,gravity,water board,user-group,pay monthly,good,enough,river,surface,communal standpipe multiple,0.3333333333333333,7.0,False
functional needs repair,2000.0,1133,Lake Rukwa,Rukwa,15,Mpanda,True,VWC,True,nira/tanira,handpump,vwc,user-group,pay annually,salty,insufficient,machine dbh,groundwater,hand pump,8.333333333333334,18.0,False
functional needs repair,0.0,0,Lake Tanganyika,Shinyanga,17,Bukombe,True,WUG,True,nira/tanira,handpump,wug,user-group,unknown,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,261,Rufiji,Morogoro,5,Kilombero,True,WUA,True,gravity,gravity,vwc,user-group,never pay,good,enough,river,surface,communal standpipe,0.0,8.0,False
functional needs repair,50.0,515,Ruvuma / Southern Coast,Mtwara,90,Newala,True,VWC,False,gravity,gravity,vwc,user-group,pay per bucket,salty,insufficient,spring,groundwater,improved spring,0.05,16.0,False
functional needs repair,0.0,0,Lake Tanganyika,Shinyanga,17,Bukombe,True,WUG,True,nira/tanira,handpump,wug,user-group,unknown,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,25.0,259,Ruvuma / Southern Coast,Lindi,80,Lindi Rural,False,WUA,False,gravity,gravity,wua,user-group,pay per bucket,good,enough,river,surface,communal standpipe,0.30120481927710846,30.0,False
functional needs repair,0.0,0,Lake Nyasa,Mbeya,12,Mbeya Rural,False,VWC,False,gravity,gravity,wug,user-group,pay when scheme fails,good,enough,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Nyasa,Mbeya,12,Rungwe,True,VWC,,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,1361,Ruvuma / Southern Coast,Ruvuma,10,Mbinga,,WUG,True,gravity,gravity,wug,user-group,unknown,good,enough,spring,groundwater,communal standpipe,0.0,2.0,False
functional needs repair,0.0,1242,Pangani,Kilimanjaro,3,Moshi Rural,True,VWC,True,gravity,gravity,vwc,user-group,unknown,good,enough,spring,groundwater,communal standpipe,0.0,39.0,False
functional needs repair,2000.0,527,Ruvuma / Southern Coast,Ruvuma,10,Tunduru,True,VWC,False,other handpump,handpump,vwc,user-group,pay annually,good,insufficient,machine dbh,groundwater,hand pump,2000.0,16.0,False
functional needs repair,0.0,0,Rufiji,Mbeya,12,Mbarali,True,WUA,True,gravity,gravity,wua,user-group,never pay,colored,seasonal,river,surface,communal standpipe,0.0,,False
functional needs repair,100.0,1566,Internal,Singida,13,Singida Rural,True,VWC,,mono,motorpump,vwc,user-group,pay per bucket,good,insufficient,machine dbh,groundwater,communal standpipe,100.0,13.0,False
functional needs repair,0.0,1343,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,True,gravity,gravity,water board,user-group,never pay,good,insufficient,river,surface,communal standpipe,0.0,31.0,False
functional needs repair,0.0,1438,Rufiji,Iringa,11,Njombe,True,WUA,True,gravity,gravity,wua,user-group,pay when scheme fails,good,enough,river,surface,communal standpipe multiple,0.0,33.0,False
functional needs repair,500.0,1336,Wami / Ruvu,Morogoro,5,Kilosa,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,spring,groundwater,communal standpipe,2.0,11.0,False
functional needs repair,30.0,436,Ruvuma / Southern Coast,Mtwara,90,Newala,True,VWC,False,submersible,submersible,vwc,user-group,pay per bucket,good,enough,machine dbh,groundwater,communal standpipe,0.13043478260869565,25.0,False
